loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0.0148654505610466,0.12192395329475403,0.02335982397198677,0.15283921360969543
0.014811502769589424,0.12170251458883286,0.023332547396421432,0.1527499556541443
0.014841476455330849,0.12182559818029404,0.023534290492534637,0.15340889990329742
0.014811436645686626,0.12170224636793137,0.02355249784886837,0.15346823632717133
0.014751316048204899,0.12145499885082245,0.02343439869582653,0.1530829817056656
0.014724592678248882,0.12134493142366409,0.023720508441329002,0.15401463210582733
0.014657280407845974,0.12106725573539734,0.02370234578847885,0.15395566821098328
0.014619600027799606,0.12091153860092163,0.023476501926779747,0.15322043001651764
0.014605576172471046,0.12085352838039398,0.02371387556195259,0.15399309992790222
0.014510910026729107,0.12046124786138535,0.023727916181087494,0.1540386825799942
