loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0.010914529673755169,0.10447262972593307,0.02529023215174675,0.159029021859169
0.01082240603864193,0.1040307953953743,0.0252543892711401,0.15891629457473755
0.010934466496109962,0.1045679971575737,0.025607818737626076,0.16002443432807922
0.010976721532642841,0.10476984828710556,0.025402775034308434,0.15938247740268707
0.010994517244398594,0.10485474020242691,0.025331787765026093,0.15915963053703308
0.010970385745167732,0.10473960638046265,0.025314802303910255,0.15910625457763672
0.01097082905471325,0.10474172234535217,0.02548087388277054,0.159627303481102
0.010939427651464939,0.1045917198061943,0.025330958887934685,0.15915702283382416
0.010947752743959427,0.10463150590658188,0.025346428155899048,0.1592056155204773
0.010914374142885208,0.10447188466787338,0.025997955352067947,0.16123881936073303
