,True_number_of_patches,True_area_mn,True_patch_density,True_largest_patch_index,True_landscape_shape_index,True_effective_mesh_size,Proj_number_of_patches,Proj_area_mn,Proj_patch_density,Proj_largest_patch_index,Proj_landscape_shape_index,Proj_effective_mesh_size
an_qing_shi,127394.0,0.5083943826698664,4.02853245130596,0.024968884227441,400.0629032258064,3031910.816269506,77077.0,0.8394333825367508,2.4373769231620757,0.09657145860419768,395.2522861753631,3028845.4193150187
an_yang_shi,45407.0,0.7745787615628034,2.7216487168915973,0.06013931987582044,241.62491052254828,1596512.2528339326,36720.0,0.9579752482836661,2.200958902465687,0.06334254270704405,271.7494631352899,1596538.0310414627
bang_bu_shi,48342.0,0.7578645376951559,4.386994868045762,0.18831370127626448,225.3211325966851,1027303.7336305234,41719.0,0.8776546532179759,3.7859633217492275,0.161755258045159,293.49723756906076,1027859.2620109239
bao_ding_shi,134871.0,0.573035527014298,3.0507298407792702,0.017260256977395833,420.66850321395776,4264720.120670777,87676.0,0.8816361177467956,1.9831971996957336,0.014239748877788323,417.0459136822772,4264424.935311969
bei_jing_shi,114943.0,0.5972576576549684,3.533596783236478,0.044319969371363885,387.24226044226043,3114456.7504563103,66086.0,1.038194312205666,2.0316267803778034,0.019648805347738975,322.5137659783678,3113254.021032514
bin_zhou_shi,57260.0,0.8528514259111808,3.2030120351972267,0.07686945225707084,257.7401774397972,1688389.879934497,50482.0,0.9682868659742235,2.8238640160814947,0.098499688851286,290.41481950601644,1687219.3816583066
bo_zhou_shi,78717.0,0.6300820026478039,4.7989644730487475,0.09797408889052006,290.14470443349757,1539121.2667849336,70802.0,0.6991173826039112,4.316428250832698,0.11453554519763645,347.47935921133706,1539489.8198442329
cang_zhou_shi,105215.0,0.571300180115084,3.291001369635823,0.02614152749290348,364.17452830188677,3075279.8878277997,80912.0,0.7417845253777808,2.5308321324903646,0.026025765549237294,366.1264428121721,3075450.816777724
chang_zhou_shi,57585.0,0.7526751385443637,5.4046403073408875,0.17303874181797246,265.36105610561054,977799.2750151854,28349.0,1.527911762975856,2.6606954601512,0.15878724126258936,200.87920792079208,977554.4830181145
cheng_de_shi,47575.0,0.7249850896477846,0.6158054415447275,0.0025672963448597633,275.58691206543966,7655729.093984264,9445.0,3.641620488075292,0.12225501619316764,0.011931744247448786,143.7815699658703,7651718.430007894
chi_zhou_shi,42439.0,0.5967482523463448,2.066276588597027,0.04973350653682747,220.20347826086956,2001582.2770367889,23070.0,1.0979692441562174,1.1232357241908013,0.059587673448355825,245.43652173913043,2001687.7320287887
chu_zhou_shi,132527.0,0.6547306013764008,4.397117866983828,0.11337298675141799,393.3468181818182,2835329.232131833,75787.0,1.1439907577118347,2.5145394658077476,0.15487534301729577,427.6302864938609,2831946.8126000753
de_zhou_shi,49677.0,0.7452667377719712,1.68243120309278,0.01342394040107203,234.08927335640138,2877442.624551259,61278.0,0.6029971363273027,2.075326997667318,0.023480470559983008,286.6375606375606,2877540.0676943
dong_ying_shi,66023.0,0.9767960660552634,4.42076291052866,0.09404833555976376,299.1793507184673,1361548.5044865266,29161.0,2.2104497360984103,1.952559975068177,0.5705484848040007,258.2879191059074,1355752.0106882884
fu_yang_shi,130476.0,0.7640297515016508,5.941593809885337,0.05242152622840513,411.0558848433531,1996654.8145325782,106226.0,0.9383992562176545,4.837301450449736,0.13987970618686632,452.16172734970365,1994354.305006458
han_dan_shi,87841.0,0.7787929472137769,4.2272505376013925,0.05515423313213589,353.1911907066795,1939118.5635942183,51300.0,1.332456141783996,2.4687555080082357,0.09932328835499554,368.9937046004842,1938839.456920491
he_bi_shi,11581.0,0.8881095519712348,2.363429907010385,0.22598870056497175,114.83837056504599,468755.93948452617,11651.0,0.881864534100694,2.3777153826593556,0.12162707221598346,145.06570302233902,469019.1528963891
he_fei_shi,162297.0,0.8869788664543584,7.1692528220766265,0.11894276721773883,465.0403286034354,1973622.733829522,80475.0,1.7877114714324887,3.5548754496793933,0.7452297146927235,452.86109036594485,1961058.9740106903
he_ze_shi,113232.0,0.7272616343167443,5.2101952669844795,0.05013827926829502,360.6537383177571,2008148.4669802906,107841.0,0.7631111585883249,4.962136743914028,0.03482395212420148,435.13510986442265,2008521.1833811684
heng_shui_shi,56055.0,0.5966673458068358,3.052842455649286,0.04082834707787088,256.28812316715545,1768010.1608574323,41593.0,0.8042876686303557,2.2652194497871867,0.04399129956820799,289.1700879765396,1767955.606199588
huai_an_shi,96766.0,0.7011808728360936,4.55526873190903,0.12877403902866363,338.43120716921453,1985500.8972444008,57509.0,1.1784427974967395,2.7072416913312156,0.22783727833441014,356.0353375527425,1982477.4268037735
huai_bei_shi,20636.0,0.9296247092574109,3.129287354178797,0.15930354767347,146.9805128205128,620290.9318821899,19110.0,1.0014955721148504,2.897881437214422,0.11727582971363336,178.74845995893227,620134.5228367518
huai_nan_shi,20915.0,0.6908067451297856,5.132878273007502,0.12653840553405565,153.17782656421517,378462.1277335929,17817.0,0.8108960880633191,4.372579114997593,0.16449650908499266,166.7244785949506,378089.8843135716
huang_shan_shi,23050.0,0.6088598221234959,1.1055160466661966,0.028628725685338162,175.70919540229886,2056629.3737318104,9730.0,1.4433878383613998,0.46666686047991723,0.07841131395279304,163.300803673938,2055258.4268771377
ji_nan_shi,53604.0,0.7039784710315103,2.3208357597774647,0.00944392684324988,254.48083623693375,2233318.534935412,49160.0,0.7664004555784706,2.1284285864983987,0.03171596023636509,270.1249127704117,2232366.021956149
ji_ning_shi,83835.0,0.7738485318670176,3.0515232400128163,0.030811773612170835,311.07537154989393,2614838.1027873545,72051.0,0.9000222328488017,2.622595586165246,0.03710086877912102,348.1491507430998,2615251.4145695856
jiao_zuo_shi,42506.0,0.835549903972524,3.4525860968257773,0.07427166775571725,230.13445945945946,1159201.493453327,31734.0,1.118333607685608,2.577621211044775,0.06905055356995,226.9377958079784,1158053.695566881
kai_feng_shi,71593.0,1.150254430846732,5.8225733096725,0.5338998235125758,319.06931144550845,1062163.1183693476,18479.0,4.450112898763585,1.5028750323277154,0.9144476960469337,284.53263350068465,1050387.2131015023
lai_wu_shi,19458.0,0.7677741688223968,5.316309801338227,0.08115911255813404,169.87609649122803,335977.9386405511,10937.0,1.3644523241214555,2.9882043528233213,0.22035642770144534,148.788144895719,335581.90152132895
lang_fang_shi,53971.0,0.8981700812422206,3.013486942313936,0.037978534956674144,270.5977229601517,1692996.8652802275,28377.0,1.7010266494787347,1.5844382902307268,0.0995761222862896,268.58238276299113,1691739.8808635639
lian_yun_gang_shi,58883.0,0.842096739335859,3.4665053161671753,0.11946859957011799,262.18802902055626,1596056.7152070485,36955.0,1.3415796126150423,2.1755804554618132,0.1354034392268614,294.468561064087,1595589.4805051223
liao_cheng_shi,69991.0,0.7609100648459811,4.2925099183823665,0.036237671475795076,293.1098707403055,1523416.666397039,65381.0,0.8123763259684075,4.00978112862736,0.06709225964059233,331.4558823529412,1523088.6436782167
lin_yi_shi,145254.0,0.8572268448497737,4.304449516094222,0.018385600534724378,460.7084627329194,3124843.7874856004,67735.0,1.8383059777737558,2.0072554833095277,0.05113835859730974,405.5974378881988,3117909.3524740795
liu_an_shi,153340.0,0.4804276396103546,4.627646744263162,0.055605009089319805,414.5326582278482,3163500.681691092,99490.0,0.7395974904489179,3.0025079860880526,0.06993784270808595,413.161094224924,3162114.5644658306
luo_yang_shi,54677.0,0.8466988549223099,1.7444251931073402,0.02115892489200767,278.3393977415307,3039269.2687187796,26290.0,1.7577345075389132,0.8387610572414722,0.04646770822450041,264.46231155778895,3038330.6484571467
ma_an_shan_shi,50587.0,0.7403640016250832,6.218876769640921,0.1313556842782751,253.59929577464786,738029.2026623962,30182.0,1.239858555743045,3.710402646160125,0.2720455941723714,250.54404510218458,735779.5993876815
nan_jing_shi,88951.0,0.9328868271498294,6.696545604717563,0.10141966460741245,350.9238427078148,1162066.8244004808,55338.0,1.497418845242799,4.166040187000264,0.25470179854755337,318.4638764324863,1157218.936636643
nan_tong_shi,179473.0,0.6200881080427877,8.528624739481282,0.032231872009670516,486.41991168205533,1883649.6079935094,98459.0,1.1299327916231918,4.678808863865804,0.1724340375114349,439.6407065435568,1879858.8923527196
nan_yang_shi,194263.0,0.7361923813235769,3.9260148157467842,0.17189527195280171,513.6559776925757,4654782.643454468,98127.0,1.4563656443779558,1.9831262557707063,0.09101784125017297,526.5791492329149,4649270.199689091
ping_ding_shan_shi,64623.0,0.6394932552545142,3.3185757352255107,0.04461994585870654,298.09084836339343,1863525.428613697,45277.0,0.9118089724289027,2.3251033465454323,0.06781306926249735,293.5347593582888,1862915.981168959
pu_yang_shi,34957.0,0.8399547425577717,3.1216851057090094,0.127400040350593,204.48384615384614,1057828.4489807254,30158.0,0.9717934504133655,2.693130972851569,0.047630595290509364,244.47421093148571,1060585.9695821346
qin_huang_dao_shi,41765.0,0.7868885783973937,2.7371223097525545,0.034932665365113635,258.15816326530614,1459663.798985355,11314.0,2.907378821228264,0.7414773569385946,0.20541249426828745,207.11507647487255,1455522.8017799382
qing_dao_shi,97931.0,0.79949216957604,4.002696527415024,0.08814185103042196,348.5624082232012,2286240.848442812,60959.0,1.281507151676739,2.4915540290070806,0.06787459511898812,346.2288094071533,2285372.970305928
