year,pix_count_mean,pix_count_std,area_km2_mean,area_km2_std,fit_type,pix_count_low,pix_count_high,area_km2_low,area_km2_high
2018,137186629.8190397,10993291.788818987,123467.9668371357,9893.962609937087,fit_linear,135042937.92022,139330321.71785942,121538.64412819796,125397.28954607343
2021,148526886.7395817,16296845.470872212,133674.1980656235,14667.160923784993,fit_linear,145349001.87276164,151704771.60640177,130814.10168548542,136534.29444576157
2024,160915001.72685868,20550075.51933685,144823.50155417278,18495.06796740316,fit_linear,156907737.000588,164922266.45312935,141216.96330052917,148430.03980781639
2027,172045101.8701307,28446006.02895048,154840.59168311756,25601.405426055426,fit_linear,166498130.69448534,177592073.04577604,149848.31762503675,159832.86574119836
2030,187229124.26028264,33114772.006321922,168506.21183425444,29803.294805689737,fit_linear,180771743.71904987,193686504.8015154,162694.56934714495,174317.85432136394
2018,135834081.63441876,10905998.792009888,122250.67347097684,9815.398912808902,fit_damp,133707411.86997683,137960751.3988607,120336.6706829791,124164.67625897458
2021,146819237.51051432,14209311.57889293,132137.3137594629,12788.38042100364,fit_damp,144048421.7526302,149590053.26839843,129643.5795773672,134631.04794155862
2024,156526397.58515346,18885944.561981887,140873.75782663818,16997.3501057837,fit_damp,152843638.395567,160209156.77473992,137559.27455601035,144188.241097266
2027,166891068.61533448,26355405.827677693,150201.96175380106,23719.865244909925,fit_damp,161751764.47893733,172030372.75173163,145576.58803104362,154827.3354765585
2030,175578103.46483853,32028663.260115538,158020.2931183546,28825.79693410398,fit_damp,169332514.129116,181823692.80056107,152399.26271620434,163641.32352050487
2018,156762779.78416103,37507994.88656122,141086.50180574495,33757.195397905096,fit_exp,149448720.7812816,164076838.78704047,134503.84870315346,147669.15490833644
2021,198657633.0542575,65990449.55404408,178791.8697488316,59391.40459863966,fit_exp,185789495.3912189,211525770.71729612,167210.54585209687,190373.19364556635
2024,250105095.87907058,103145147.68985374,225094.58629116337,92830.63292086839,fit_exp,229991792.0795491,270218399.6785921,206992.61287159403,243196.55971073272
2027,314303410.8596415,158138514.66125834,282873.06977367727,142324.66319513248,fit_exp,283466400.5006961,345140421.21858686,255119.76045062643,310626.3790967281
2030,403165565.5053811,252005552.67224494,362849.0089548433,226804.99740502043,fit_exp,354024482.73429334,452306648.2764689,318622.03446086426,407075.9834488223
