year,pix_count,area_km2
1991,42169365.14901961,37952.42863411765
1994,53612264.14901961,48251.03773411764
1997,61098408.14901961,54988.567334117644
2000,66818103.14901961,60136.292834117645
2003,74950132.75294118,67455.11947764707
2006,84803696.90196079,76323.32721176471
2009,97009687.90196079,87308.71911176472
2012,110972859.90196079,99875.57391176472
2015,125941872.28235295,113347.68505411767
2018,146476971.40392157,131829.27426352943
