year,mean,count,std,area_km2,se
2018,150660640.421641,100,23122319.10294187,135594.5763794769,61096.83672492431
2021,180137316.33051276,100,39125299.321051575,162123.58469746148,56157.71949036495
2024,220820713.19706547,100,67745150.21116543,198738.64187735895,52316.094374061824
2027,275578707.9282392,100,101625190.61929959,248020.8371354153,53306.428293793506
2030,326221609.0702814,100,153842873.4783325,293599.4481632533,51287.15934543427
