,name,metric_type,area,perimeter,perimeter_area_ratio,shape_index,fractal_dimension
0,mix_no_years_dong_ying_shi_2017_2019,STD,308.38917408389153,42569.65500493957,326.2782196595163,0.9392171998976514,0.044884312788012824
1,mix_no_years_dong_ying_shi_2017_2019,Mean,9.147590549583212,1664.4092974559035,704.3055892999854,1.3180505184806808,1.0547952785719874
2,mix_years_lin_yi_shi_2017_2019,STD,384.9429919952143,38775.814359997385,444.4748701655959,0.6328455081658396,0.04715182983007111
3,mix_years_lin_yi_shi_2017_2019,Mean,6.70574304807439,1116.7985448523139,879.0684038879347,1.2502955532472992,1.0433671092042054
4,no_distance_liao_cheng_shi_2017_2019,STD,172.8907229572764,21132.738605524497,452.8027603054372,0.808273085690056,0.057909444379898825
5,no_distance_liao_cheng_shi_2017_2019,Mean,6.684445831649069,1346.807999603666,883.2345042655014,1.3615258159299282,1.052992977188087
6,with_distance_han_dan_shi_2017_2019,STD,211.4201682559144,26412.047639076987,476.6326049560483,0.8262782193468162,0.056766795247943466
7,with_distance_han_dan_shi_2017_2019,Mean,7.46070621434263,1426.8277865112846,919.0283179234536,1.3587384304246404,1.053030657094121
8,with_distance_qing_dao_shi_2017_2019,STD,379.9990017966512,44440.298179472346,439.07479984042845,0.7696329326306995,0.04705697635168866
9,with_distance_qing_dao_shi_2017_2019,Mean,8.521688815473437,1404.3676796888456,816.8785687252249,1.2786517595166338,1.047706412576483
10,with_distance_shi_jia_zhuang_shi_2017_2019,STD,230.67327781179864,33667.206556504636,449.4398118264298,0.7844044169072865,0.054632074236475675
11,with_distance_shi_jia_zhuang_shi_2017_2019,Mean,6.035446174712384,1203.4931610652538,942.6307411581539,1.3120984051854891,1.0504084091829553
12,with_distance_he_ze_shi_2017_2019,STD,295.6564279137371,28200.376242874252,454.3263970816842,0.782966599965832,0.05668479859247187
13,with_distance_he_ze_shi_2017_2019,Mean,7.909727376490016,1438.0582150921541,849.3191463689603,1.374433376905189,1.0555967317840493
14,mix_years_qing_dao_shi_2017_2019,STD,360.5530740848881,40595.11254458998,460.04968761582376,0.7020665815974525,0.04398118810013518
15,mix_years_qing_dao_shi_2017_2019,Mean,8.711560260276569,1350.261776365581,806.2548687527402,1.2502101173415328,1.043846426087594
16,no_distance_xu_chang_shi_2017_2019,STD,378.2843162065219,43015.98359551043,457.67034662596956,0.8082205796137323,0.05614830479044133
17,no_distance_xu_chang_shi_2017_2019,Mean,7.012259730130111,1347.7792065291746,888.9062785074954,1.3469651538896512,1.0537343220997106
18,mix_no_years_kai_feng_shi_2017_2019,STD,618.1200790091856,70170.75620527194,393.8720771041585,0.9349099384140154,0.04249506467582036
19,mix_no_years_kai_feng_shi_2017_2019,Mean,15.97908817032926,2216.9913050780638,653.3060117325169,1.3304745030313052,1.0555535919875048
20,mix_no_years_wei_hai_shi_2017_2019,STD,51.99493638920292,9864.065806931672,476.8733234465595,0.7857130657517098,0.0482386710975305
21,mix_no_years_wei_hai_shi_2017_2019,Mean,4.721266253305818,1115.570359683779,875.4714466388832,1.276816054948044,1.0451762529439268
22,mix_no_years_nan_jing_shi_2017_2019,STD,291.26746172310516,46771.266461089355,390.3251039431212,0.85764738478746,0.04974878679435044
23,mix_no_years_nan_jing_shi_2017_2019,Mean,5.135087965774636,1177.3036809618961,862.7336633500357,1.2626088333860221,1.0454002568615395
24,no_distance_dong_ying_shi_2017_2019,STD,308.77077211006787,32334.428389013945,373.0216956242662,0.8108659650236407,0.049740647022171305
25,no_distance_dong_ying_shi_2017_2019,Mean,8.407170620453329,1407.8351223896989,793.1055436111437,1.31485118797552,1.0536233396168853
26,with_distance_de_zhou_shi_2017_2019,STD,95.65910153858943,11416.688528872644,470.1564586821869,0.7048276447601399,0.05570351912599023
27,with_distance_de_zhou_shi_2017_2019,Mean,5.668831793675464,1229.6163206077674,839.4462763498773,1.3645720433245543,1.05512910776353
28,with_distance_heng_shui_shi_2017_2019,STD,75.01271639067204,9504.218390757735,460.147359202401,0.7014222270008031,0.05767222316737461
29,with_distance_heng_shui_shi_2017_2019,Mean,5.606724535577998,1235.0907795109695,852.607411791326,1.3832933961433969,1.0566629542561183
30,mix_no_years_bao_ding_shi_2017_2019,STD,116.50717898374371,15604.527737675646,473.44758487892346,0.7580318219244465,0.05246831630982358
31,mix_no_years_bao_ding_shi_2017_2019,Mean,6.739283329033495,1288.740261915848,914.7104219955896,1.305389490594615,1.046927389497793
32,mix_no_years_xin_xiang_shi_2017_2019,STD,280.8396062382,34448.99079882233,494.4206510557218,0.7779405513303482,0.047663603282272045
33,mix_no_years_xin_xiang_shi_2017_2019,Mean,9.778692136461821,1502.5100295057507,858.9112454180477,1.2730123738079866,1.0440463036497274
34,with_distance_chu_zhou_shi_2017_2019,STD,111.87917558683732,10799.000006736798,397.3469361055397,0.502835319042278,0.05060479087709118
35,with_distance_chu_zhou_shi_2017_2019,Mean,2.151671875424921,613.7253016902707,962.5692617446911,1.2431234882178532,1.0469054250950027
36,mix_no_years_xu_zhou_shi_2017_2019,STD,304.38990434303406,36001.882404903765,468.01209154471985,0.7834301252756537,0.04958418057446636
37,mix_no_years_xu_zhou_shi_2017_2019,Mean,7.759663860502269,1412.099139380269,830.9588260971364,1.2998337278196879,1.0471487797440058
38,mix_no_years_ta_he_shi_2017_2019,STD,211.0452382582132,23219.492288151567,491.8052875519158,0.7829077873658373,0.049828081570218834
39,mix_no_years_ta_he_shi_2017_2019,Mean,10.324069672803073,1695.696887107862,771.8501083819451,1.3377232092688953,1.0499248892933153
