img_type,city,Acc_type,val,year
mix_no_years,han_dan_shi,Change_ratio,0.11917031991879085,2017_2019
mix_no_years,han_dan_shi,Overal_Acc,0.9705532372617935,2017_2019
mix_no_years,zheng_zhou_shi,FoM,0.1247896780833476,2017_2019
mix_no_years,zheng_zhou_shi,Change_ratio,0.12604022004897436,2017_2019
mix_no_years,zheng_zhou_shi,Overal_Acc,0.9380759614943615,2017_2019
mix_no_years,tong_ling_shi,FoM,0.07688799378950074,2017_2019
mix_no_years,tong_ling_shi,Change_ratio,0.07944668703072892,2017_2019
mix_no_years,tong_ling_shi,Overal_Acc,0.9764805411497698,2017_2019
mix_no_years,zhen_jiang_shi,FoM,0.06142595941876135,2017_2019
mix_no_years,zhen_jiang_shi,Change_ratio,0.08189917988170825,2017_2019
mix_no_years,zhen_jiang_shi,Overal_Acc,0.9646249350966599,2017_2019
mix_no_years,fu_yang_shi,FoM,0.14378540372969933,2017_2019
mix_no_years,fu_yang_shi,Change_ratio,0.23646049577060058,2017_2019
mix_no_years,fu_yang_shi,Overal_Acc,0.9161135567269717,2017_2019
mix_no_years,qing_dao_shi,FoM,0.14140366168392093,2017_2019
mix_no_years,qing_dao_shi,Change_ratio,0.16176649847550814,2017_2019
mix_no_years,qing_dao_shi,Overal_Acc,0.9557868432880094,2017_2019
mix_no_years,ma_an_shan_shi,FoM,0.0879741509664696,2017_2019
mix_no_years,ma_an_shan_shi,Change_ratio,0.12662934261103986,2017_2019
mix_no_years,ma_an_shan_shi,Overal_Acc,0.9641086545198588,2017_2019
mix_no_years,zhu_ma_dian_shi,FoM,0.1092995214064014,2017_2019
mix_no_years,zhu_ma_dian_shi,Change_ratio,0.22264751712947242,2017_2019
mix_no_years,zhu_ma_dian_shi,Overal_Acc,0.9498967549239421,2017_2019
mix_no_years,he_bi_shi,FoM,0.05461598509894724,2017_2019
mix_no_years,he_bi_shi,Change_ratio,0.0678669979150405,2017_2019
mix_no_years,he_bi_shi,Overal_Acc,0.9830990606345337,2017_2019
mix_no_years,huang_shan_shi,FoM,0.09666410891654995,2017_2019
mix_no_years,huang_shan_shi,Change_ratio,0.15417335188166503,2017_2019
mix_no_years,huang_shan_shi,Overal_Acc,0.9898090130945557,2017_2019
mix_no_years,san_men_xia_shi,FoM,0.11929634844458012,2017_2019
mix_no_years,san_men_xia_shi,Change_ratio,0.19280875889272234,2017_2019
mix_no_years,san_men_xia_shi,Overal_Acc,0.990765627405762,2017_2019
mix_no_years,dong_ying_shi,FoM,0.13678258164601836,2017_2019
mix_no_years,dong_ying_shi,Change_ratio,0.2371132526664832,2017_2019
mix_no_years,dong_ying_shi,Overal_Acc,0.939054043334134,2017_2019
mix_no_years,lin_yi_shi,FoM,0.13634135012930285,2017_2019
mix_no_years,lin_yi_shi,Change_ratio,0.13900367434459798,2017_2019
mix_no_years,lin_yi_shi,Overal_Acc,0.9640539820776024,2017_2019
mix_no_years,bo_zhou_shi,FoM,0.10872767196174776,2017_2019
mix_no_years,bo_zhou_shi,Change_ratio,0.20269428347206853,2017_2019
mix_no_years,bo_zhou_shi,Overal_Acc,0.9487553580885734,2017_2019
