img_type,city,AUC,Change_ratio,FoM,Hits,Overal_Acc
no_distance,an_qing_shi,0.8579668546126022,0.6836465611858331,0.17862894774917495,0.303222943831845,0.9384714045123552
no_distance,an_yang_shi,0.8493099859125862,0.21555805754510238,0.19819767806770952,0.330892130960652,0.9297249650260753
no_distance,bang_bu_shi,0.7566757983981771,0.4110522248165437,0.1940328455287429,0.3250970565642903,0.9086759625798356
no_distance,bao_ding_shi,0.8534354618332427,0.3011697656537546,0.17686196854438685,0.30060231172458723,0.9476936244211931
no_distance,bei_jing_shi,0.8788855470259284,0.3502697202256805,0.1478338430170413,0.2576249822632338,0.9326795910631654
no_distance,bin_zhou_shi,0.7758952255937241,0.24023503356632936,0.16663609435274954,0.28571978932622444,0.9150257401455053
no_distance,bo_zhou_shi,0.7567831377301428,0.2858898525395337,0.14402342395009818,0.25184940662719585,0.9034145944575149
no_distance,cang_zhou_shi,0.7909961428108303,0.21810453188429924,0.16190705268731584,0.27875016349730314,0.9315426098694937
no_distance,chang_zhou_shi,0.7548213883868368,0.33036414532137665,0.17374418333814445,0.2961133454297334,0.8325986838945793
no_distance,cheng_de_shi,0.9556137213617528,1.31817026334698,0.206657489326351,0.34313708239220275,0.9885410508444795
no_distance,chi_zhou_shi,0.8652013686032674,0.49278279940625286,0.1828965917956438,0.30939751317860814,0.9573842110493289
no_distance,chu_zhou_shi,0.7621202142606252,0.34606100499835235,0.18222546393640637,0.308376766907418,0.9059409929630456
no_distance,de_zhou_shi,0.8237116524877546,0.12250770996873266,0.15122289760984034,0.26279336777735823,0.9412253878029138
no_distance,dong_ying_shi,0.7700655316894196,0.637153476866231,0.19071442052050053,0.3204508585017539,0.8744105074133275
no_distance,fu_yang_shi,0.7537424658509376,0.390310426008729,0.19820269975019417,0.33091276385923035,0.8470472342011942
no_distance,han_dan_shi,0.8129561508798797,0.3941001082487722,0.20512069730403346,0.34052258492081733,0.9175860526507464
no_distance,he_bi_shi,0.8075793907444242,0.23862676392724325,0.15860304138981562,0.27382051498263715,0.923148190966439
no_distance,he_fei_shi,0.7519214644897705,0.7633096490861826,0.22151406928680606,0.36278804373824186,0.8274877567997827
no_distance,he_ze_shi,0.7926300037411147,0.28290218653983373,0.18304600171675411,0.30949655018672817,0.8907378858179842
no_distance,heng_shui_shi,0.8270110120962118,0.21325667578441174,0.1806725506470219,0.30616346340374107,0.9429703434381077
no_distance,huai_an_shi,0.840333580559369,0.5733397542971248,0.23371449192022,0.37904584808938385,0.9110371010524467
no_distance,huai_bei_shi,0.8135735646355029,0.23741454634448364,0.19286256377163777,0.32347944912578114,0.8932456592791643
no_distance,huai_nan_shi,0.7752002587375012,0.30973509511880265,0.16048543105118193,0.2766463797981478,0.8849943006724997
no_distance,huang_shan_shi,0.9458417375544448,0.8340935747739143,0.21490290993836786,0.35367592082359073,0.9772596835676687
no_distance,ji_nan_shi,0.8088025655758728,0.1513327562618079,0.15180857488344646,0.2636890649353034,0.9210889955615217
no_distance,ji_ning_shi,0.799079481225117,0.18806294244589533,0.1696658980927885,0.29015272103370265,0.9073483793345528
no_distance,jiao_zuo_shi,0.8305300785697659,0.3760189934196202,0.2038070803839734,0.3386810453651738,0.910973519414972
no_distance,kai_feng_shi,0.7536744083068766,0.5341407305210352,0.2693661216557791,0.4245487599792352,0.8248385032810412
no_distance,lai_wu_shi,0.8527722932535,0.6278636723209668,0.19723389745145786,0.3295248446007967,0.9035263643896219
no_distance,lang_fang_shi,0.7890114368760268,0.20271882152607615,0.2131405883568344,0.35145877160012023,0.8902807426979873
no_distance,lian_yun_gang_shi,0.796553388585924,0.4045477576795923,0.21476222643755125,0.35369673431900894,0.9046840560677358
no_distance,liao_cheng_shi,0.7714887292543968,0.28916826487844005,0.17608905758832025,0.29953367091452654,0.9006873836793845
no_distance,lin_yi_shi,0.8324321292990255,0.41225314552604964,0.24160829076427096,0.3893038797892113,0.9020999359767602
no_distance,liu_an_shi,0.8386184411570078,0.3303206309967732,0.15942502504566253,0.2750497268305204,0.938775677160109
no_distance,luo_yang_shi,0.9108080306725076,0.4815903750403856,0.20887503634226187,0.3456378193116017,0.958765776463414
no_distance,ma_an_shan_shi,0.7916382853120815,0.440899274232082,0.2224274942606896,0.36399147345952076,0.8791979891507666
no_distance,nan_jing_shi,0.7479033416003134,0.5535913376469878,0.22562138390370423,0.3682229985575688,0.8143176381789822
no_distance,nan_tong_shi,0.697619258266874,0.5842710545770443,0.1771347179170479,0.3010149707329372,0.8068296706590478
no_distance,nan_yang_shi,0.8175369998518972,0.6949874260021112,0.16778096450984473,0.28745565498594805,0.9196051732692513
no_distance,ping_ding_shan_shi,0.8584428061254057,0.3404978845512962,0.1970018291742075,0.3292584507361453,0.9237044112992233
no_distance,pu_yang_shi,0.7474658459464495,0.2136843134744162,0.1830698143541967,0.3095403316190768,0.890543915330637
no_distance,qin_huang_dao_shi,0.899869945814292,0.6630947150407152,0.25604211610754013,0.40776036542576605,0.948225379440518
no_distance,qing_dao_shi,0.8366900718118407,0.4836943904080936,0.23104428563632662,0.3754154326069036,0.9006156446090278
no_distance,ri_zhao_shi,0.8433202503181431,0.5679469955897126,0.2602579272106754,0.41313467387285235,0.9006789056510289
no_distance,san_men_xia_shi,0.957024980497996,1.481127798572102,0.2388606268729267,0.38572210805388324,0.9777838971635597
no_distance,shang_qiu_shi,0.7937770856910323,0.24738047678884947,0.1991091641962053,0.3321606937704471,0.9000638873353155
no_distance,shi_jia_zhuang_shi,0.8227267247520412,0.3153833561635012,0.16507393762664319,0.283413948535947,0.9314428636018087
no_distance,su_qian_shi,0.8166267880024058,0.5027981682303184,0.21042482612768879,0.3477642048686773,0.8934912904875932
no_distance,su_zhou_shi,0.80496618615412,0.2828705830877552,0.1760378155362632,0.2994370047407321,0.8437430452271265
no_distance,ta_he_shi,0.8379786873334948,0.24243169760997296,0.21516610993837984,0.35421609095634693,0.9273199195250766
no_distance,tai_an_shi,0.7962926490984742,0.34007539788541946,0.18385225846092182,0.3106563851756388,0.8948822162919522
no_distance,tai_zhou_shi,0.7790379178763933,0.6138849674380351,0.26227742397139675,0.4156719069403075,0.8315524466895471
no_distance,tang_shan_shi,0.7838404841575233,0.6644314345456057,0.21396292555263535,0.3525940097011508,0.9097660784906747
no_distance,tian_jin_shi,0.7557311737400718,0.5197738862230372,0.20036684765288346,0.3339135358213707,0.866435031291825
no_distance,tong_ling_shi,0.8222413542926239,0.5773710582296304,0.1982793926184345,0.33104623362774016,0.882450418382863
no_distance,wei_fang_shi,0.7834273475231256,0.5116457431595873,0.18909650310314474,0.31814199139634725,0.8878097816531525
no_distance,wei_hai_shi,0.8228886397608371,0.6261326133259483,0.1989631255897692,0.33199977262160435,0.9203376203110708
no_distance,wu_hu_shi,0.7644438044688122,0.5864368302851408,0.19260422044327066,0.32311673642537564,0.8885371786332859
no_distance,wu_xi_shi,0.7768121196272347,0.22493462173073342,0.16042113284849188,0.27652502304173454,0.8351208848052087
no_distance,xin_xiang_shi,0.8058740063902021,0.27744815039725745,0.20051483441901563,0.3340963081025988,0.9136851534181061
no_distance,xin_yang_shi,0.8063118437758208,0.45117174085151535,0.13765259436800562,0.24206646279795788,0.941231192542147
no_distance,xing_tai_shi,0.8185066052861962,0.36147669539713534,0.19609191179455512,0.3279755958541538,0.926452719277974
no_distance,xu_chang_shi,0.7932160804020099,0.3620425680712957,0.2201454092134014,0.3609436225549543,0.8801831235041023
no_distance,xu_zhou_shi,0.7815247148410154,0.2801820327622629,0.23397480291639258,0.3793072411249029,0.8582475163134373
no_distance,xuan_cheng_shi,0.85161392511711,0.6590861569876499,0.1869210442452891,0.31512974164596996,0.9526755993010922
no_distance,yan_cheng_shi,0.7768747794657587,1.0400718764055796,0.18994970733406755,0.3193267613811228,0.8935446444664178
no_distance,yan_tai_shi,0.8285151047641652,0.500290805576177,0.21028486116382727,0.3475996429370382,0.9353246706546026
no_distance,yang_zhou_shi,0.8067093767160757,0.8119071036890814,0.2286665799485381,0.37230417832395646,0.8737276430278993
no_distance,zao_zhuang_shi,0.7786978560085613,0.2816172680499152,0.17696734786465443,0.3007490156612543,0.8931028746050665
no_distance,zhang_jia_kou_shi,0.8923489651244697,1.068159907768463,0.23541760289150215,0.38146626326180766,0.9661411942524178
no_distance,zhen_jiang_shi,0.7624016995944152,0.43098549408570624,0.2242627556890336,0.36644353837070387,0.8290346542115875
no_distance,zheng_zhou_shi,0.7911878236495796,0.6695517328959945,0.2753790606881483,0.431920461179344,0.7988670054114372
no_distance,zhou_kou_shi,0.8206918667347751,0.21274438728594638,0.17608378971001437,0.299540986745939,0.9293807025986451
no_distance,zhu_ma_dian_shi,0.8084653612223707,0.43375218726360726,0.18242775946751857,0.3086579123475701,0.9070990365086307
no_distance,zi_bo_shi,0.8484615612414119,0.2633650108576338,0.1803239313696874,0.30559118518022665,0.9022784399091162
