img_type,city,Acc_type,val,year
no_distance,su_zhou_shi,FoM,0.24811954106543976,2014_2016
no_distance,su_zhou_shi,Change_ratio,0.5255915770668789,2014_2016
no_distance,su_zhou_shi,Overal_Acc,0.8455614725496208,2014_2016
no_distance,zi_bo_shi,FoM,0.16506533876838042,2014_2016
no_distance,zi_bo_shi,Change_ratio,0.30858662603019016,2014_2016
no_distance,zi_bo_shi,Overal_Acc,0.9270538571424182,2014_2016
no_distance,huai_bei_shi,FoM,0.1713638209762095,2014_2016
no_distance,huai_bei_shi,Change_ratio,0.3360065724861382,2014_2016
no_distance,huai_bei_shi,Overal_Acc,0.9212369737037491,2014_2016
no_distance,huai_nan_shi,FoM,0.16351789366823763,2014_2016
no_distance,huai_nan_shi,Change_ratio,0.3322048789997785,2014_2016
no_distance,huai_nan_shi,Overal_Acc,0.9090163111349736,2014_2016
no_distance,huai_an_shi,FoM,0.2175616480577064,2014_2016
no_distance,huai_an_shi,Change_ratio,0.4859454418211704,2014_2016
no_distance,huai_an_shi,Overal_Acc,0.9366373141623768,2014_2016
no_distance,chu_zhou_shi,FoM,0.16837446345167217,2014_2016
no_distance,chu_zhou_shi,Change_ratio,0.4633518616976334,2014_2016
no_distance,chu_zhou_shi,Overal_Acc,0.9357223888516738,2014_2016
no_distance,bin_zhou_shi,FoM,0.1640803591259095,2014_2016
no_distance,bin_zhou_shi,Change_ratio,0.3503109558016339,2014_2016
no_distance,bin_zhou_shi,Overal_Acc,0.932912299844121,2014_2016
no_distance,ta_he_shi,FoM,0.2084796928954704,2014_2016
no_distance,ta_he_shi,Change_ratio,0.2958100185660945,2014_2016
no_distance,ta_he_shi,Overal_Acc,0.9369331096186501,2014_2016
no_distance,wei_fang_shi,FoM,0.17858181930752653,2014_2016
no_distance,wei_fang_shi,Change_ratio,0.4152002435801123,2014_2016
no_distance,wei_fang_shi,Overal_Acc,0.9237742191205769,2014_2016
no_distance,pu_yang_shi,FoM,0.19334387238301146,2014_2016
no_distance,pu_yang_shi,Change_ratio,0.3238049318302719,2014_2016
no_distance,pu_yang_shi,Overal_Acc,0.9242601610352111,2014_2016
no_distance,yan_tai_shi,FoM,0.21731900255735298,2014_2016
no_distance,yan_tai_shi,Change_ratio,0.44728787161792255,2014_2016
no_distance,yan_tai_shi,Overal_Acc,0.9481609755202072,2014_2016
no_distance,jiao_zuo_shi,FoM,0.26630873816911405,2014_2016
no_distance,jiao_zuo_shi,Change_ratio,0.40956971266145775,2014_2016
no_distance,jiao_zuo_shi,Overal_Acc,0.921321599454472,2014_2016
no_distance,yan_cheng_shi,FoM,0.20022209854204512,2014_2016
no_distance,yan_cheng_shi,Change_ratio,0.6201992168366053,2014_2016
no_distance,yan_cheng_shi,Overal_Acc,0.9237613970475835,2014_2016
no_distance,shi_jia_zhuang_shi,FoM,0.16718069400263894,2014_2016
no_distance,shi_jia_zhuang_shi,Change_ratio,0.30394961066674636,2014_2016
no_distance,shi_jia_zhuang_shi,Overal_Acc,0.9481900202757121,2014_2016
no_distance,qin_huang_dao_shi,FoM,0.2109936991077772,2014_2016
no_distance,qin_huang_dao_shi,Change_ratio,0.47687307782084953,2014_2016
no_distance,qin_huang_dao_shi,Overal_Acc,0.9620229611875208,2014_2016
no_distance,liao_cheng_shi,FoM,0.17493117465087096,2014_2016
no_distance,liao_cheng_shi,Change_ratio,0.3043115381147717,2014_2016
no_distance,liao_cheng_shi,Overal_Acc,0.9251761412074768,2014_2016
no_distance,wu_hu_shi,FoM,0.20392583218472993,2014_2016
