img_type,city,AUC,Change_ratio,FoM,Hits,Overal_Acc,name,metric_type,area,perimeter,perimeter_area_ratio,shape_index,fractal_dimension
no_distance,an_qing_shi,0.8579668546126022,0.491008030873732,0.1786289477491749,0.303222943831845,0.9411641344565196,an_qing_shi,Mean,1.078228333228023,492.0660048905956,1001.499633382184,1.2441563502508406,1.048887456364258
no_distance,an_yang_shi,0.8493099859125862,0.3444446894984252,0.1981976780677094,0.3308921309606519,0.9361110430574592,an_yang_shi,Mean,4.986850859451091,1091.6367687881511,959.6345495599538,1.3452963251626475,1.0536800353156386
no_distance,bang_bu_shi,0.7566757983981771,0.4054700992184135,0.1940328455287429,0.3250970565642903,0.9169191273811358,bang_bu_shi,Mean,2.194578933179037,752.5383497780848,979.6304150480314,1.3217095451660714,1.0547664375766514
no_distance,bao_ding_shi,0.8534354618332427,0.331312204298928,0.1768619685443868,0.3006023117245873,0.9513642996646212,bao_ding_shi,Mean,4.141783503567652,1063.5149958598402,1015.0046224427618,1.357720548301846,1.0536401750837436
no_distance,bei_jing_shi,0.8788855470259284,0.3415230240617247,0.1478338430170413,0.2576249822632338,0.9380918996737424,bei_jing_shi,Mean,2.9144531576131665,889.1578232286447,1023.3785637122784,1.3099974323704329,1.0503750981885962
no_distance,bin_zhou_shi,0.7758952255937241,0.3586599686094981,0.1666360943527495,0.2857197893262243,0.9231957988823832,bin_zhou_shi,Mean,4.025335478905024,965.7029259140728,938.0677253878072,1.2905788988365194,1.0478248735889426
no_distance,bo_zhou_shi,0.7567831377301428,0.3696252227762879,0.1440234239500982,0.2518494066271958,0.9129943002901456,bo_zhou_shi,Mean,2.611262334217038,832.3612320011129,902.7587778814292,1.3494044507277236,1.0566025940429538
no_distance,cang_zhou_shi,0.7909961428108303,0.3012609450516486,0.1619070526873158,0.2787501634973032,0.9383314587393382,cang_zhou_shi,Mean,3.925801565021823,996.5569745546104,965.3998551303592,1.3361451039987484,1.0527442345851836
no_distance,chang_zhou_shi,0.7548213883868368,0.3731882438437761,0.1737441833381444,0.2961133454297333,0.8604696140675726,chang_zhou_shi,Mean,2.3364376446181727,722.3085131746515,976.9738618274312,1.272561870910816,1.050252516532736
no_distance,cheng_de_shi,0.9556137213617528,0.8874079772907008,0.2066574893263509,0.3431370823922027,0.9885536948368642,cheng_de_shi,Mean,1.2641870985564072,502.2590099352742,1104.7212150711866,1.2239179199288777,1.0437824604601145
no_distance,chi_zhou_shi,0.8652013686032674,0.5599499292177086,0.1828965917956437,0.3093975131786081,0.9583925487894274,chi_zhou_shi,Mean,1.1934619302394238,519.2661864801523,986.7997214899282,1.2486043505288116,1.0491861893063956
no_distance,chu_zhou_shi,0.7621202142606252,0.5371954654278898,0.1822254639364063,0.3083767669074179,0.911147089586693,chu_zhou_shi,Mean,1.668952352629345,604.8097918890055,1024.2575927609737,1.258654163687544,1.048808609182268
no_distance,de_zhou_shi,0.8237116524877546,0.2604909732028362,0.1512228976098403,0.2627933677773582,0.9472015669467576,de_zhou_shi,Mean,4.324352158237042,1067.1060296085636,886.6393140200599,1.3515888262690303,1.0548897884091362
no_distance,dong_ying_shi,0.7700655316894196,0.4990166864083414,0.1907144205205005,0.3204508585017538,0.885074260712492,dong_ying_shi,Mean,3.053504489711963,794.9666123198763,1021.0977232059396,1.2605278401506308,1.0457471238577172
no_distance,fu_yang_shi,0.7537424658509376,0.4150750372427294,0.1982026997501941,0.3309127638592303,0.8682680438972756,fu_yang_shi,Mean,2.7681136977179057,899.2158187236182,905.2559140108214,1.376387066960863,1.059100172274562
no_distance,han_dan_shi,0.8129561508798797,0.3764210111613679,0.2051206973040335,0.3405225849208173,0.9253177045857576,han_dan_shi,Mean,4.832076886464657,1098.2511792998014,992.8082928805678,1.3578190041557472,1.0548873797126903
no_distance,he_bi_shi,0.8075793907444242,0.3502469965934567,0.1586030413898156,0.2738205149826371,0.93001846842654,he_bi_shi,Mean,4.773390543372501,1075.5380276627648,935.286555160214,1.3575110256788925,1.0554455931297575
no_distance,he_fei_shi,0.7519214644897705,0.5423338839449329,0.2215140692868061,0.3627880437382417,0.8451757562256833,he_fei_shi,Mean,1.5189994613723443,587.5367479932859,952.8016808908468,1.2715918635792631,1.0509919491777675
no_distance,he_ze_shi,0.7926300037411147,0.3182309621094521,0.1830460017167541,0.3094965501867282,0.9065747731947787,he_ze_shi,Mean,4.607320012999732,1124.0322443835523,924.48234096601,1.3748825727912726,1.0555351669707478
no_distance,heng_shui_shi,0.8270110120962118,0.3243684024933486,0.1806725506470218,0.306163463403741,0.9474681180597768,heng_shui_shi,Mean,4.862312889107909,1176.3945648652125,852.1570064241879,1.4048259244998964,1.0595356139929175
no_distance,huai_an_shi,0.840333580559369,0.5401895755194005,0.2337144919202201,0.3790458480893839,0.9161506896167432,huai_an_shi,Mean,1.1389295261231374,472.4587244774776,1030.304947980262,1.2184939066145823,1.045169213708817
no_distance,huai_bei_shi,0.8135735646355029,0.3732114501275178,0.1928625637716377,0.3234794491257811,0.9057384191776402,huai_bei_shi,Mean,3.6820984978538287,1005.5962569306324,874.2530033026333,1.3703231793211963,1.0569834958849225
no_distance,huai_nan_shi,0.7752002587375012,0.3266553721922207,0.1604854310511819,0.2766463797981478,0.9011883552414652,huai_nan_shi,Mean,3.149273928916942,890.4543354541836,964.446496055068,1.3261580358356768,1.0535168801962609
